name,designation,role,exit_brand,exit_type,exit_year,category,notes,source_url,linkedin_url
Joey Zwillinger,founder,Co-founder & Co-CEO,Allbirds,IPO,2021,Apparel,Co-led 2021 IPO,https://www.businessoffashion.com/people/tim-brown-joey-zwillinger/,
Tim Brown,founder,Co-founder & Co-CEO,Allbirds,IPO,2021,Apparel,"Wool footwear brand, Nasdaq IPO",https://en.wikipedia.org/wiki/Allbirds,
Mike Bufano,alumni,Chief Financial Officer,Allbirds,IPO,2021,Apparel,"Ex-Panera CFO, led through IPO",https://www.cfodive.com/news/allbirds-replaces-cfo-ex-adidas-exec/644723/,
Oliver Reichert,alumni,CEO (non-founder),Birkenstock,IPO,2023,Apparel,"Non-founder CEO, led NYSE IPO",https://www.cnbc.com/2023/10/11/birkenstock-ipo-birk-nyse.html,
Andy Dunn,founder,Co-founder & CEO,Bonobos,acquisition,2017,Apparel,Acquired by Walmart,https://corporate.walmart.com/news/2017/06/16/walmart-to-acquire-bonobos,
Brian Spaly,founder,Co-founder,Bonobos,acquisition,2017,Apparel,Co-founded with Dunn,https://en.wikipedia.org/wiki/Bonobos_(apparel),
Micky Onvural,alumni,CEO (non-founder),Bonobos,acquisition,2017,Apparel,Became CEO after Dunn,https://www.retaildive.com/news/bonobos-ceo-micky-onvural-exits/617435/,
Kyle Hency,founder,Co-founder & CEO,Chubbies,acquisition,2021,Apparel,Acquired by Solo Brands,https://www.prnewswire.com/news-releases/solo-stove-chubbies-oru-kayak-isle-301368889.html,
Heather Hasson,founder,Co-founder & Executive Chair,FIGS,IPO,2021,Apparel,Medical scrubs DTC brand,https://fortune.com/2021/05/28/figs-ipo-cofounders-heather-hasson-trina-spear/,
Trina Spear,founder,Co-founder & Co-CEO,FIGS,IPO,2021,Apparel,Led NYSE IPO,https://fortune.com/2021/05/27/figs-ipo-first-female-cofounders/,
Jeffrey Lawrence,alumni,Chief Financial Officer,FIGS,IPO,2021,Apparel,"Ex-Domino's CFO, led through IPO",https://www.businesswire.com/news/home/20210106005244/en/FIGS-Names-Jeffrey-Lawrence-CFO,
Alessandro Rosano,founder,Founder,HeyDude,acquisition,2022,Apparel,Acquired by Crocs for $2.5B,https://www.forbes.com/profile/alessandro-rosano/,
Caspar Coppetti,founder,Co-founder & Executive Co-Chairman,On Holding,IPO,2021,Apparel,"Co-founder, NYSE IPO",https://en.wikipedia.org/wiki/On_(company),
David Allemann,founder,Co-founder & Executive Co-Chairman,On Holding,IPO,2021,Apparel,"Co-founder, NYSE IPO",https://en.wikipedia.org/wiki/On_(company),
Olivier Bernhard,founder,Co-founder,On Holding,IPO,2021,Apparel,Ex-triathlete co-founder,https://en.wikipedia.org/wiki/On_(company),
Marc Maurer,alumni,Co-CEO (non-founder),On Holding,IPO,2021,Apparel,Non-founder Co-CEO through IPO,https://wwd.com/business-news/human-resources/on-holding-co-ceo-marc-maurer-martin-hoffmann-1237069251/,
Martin Hoffmann,alumni,Co-CEO & CFO (non-founder),On Holding,IPO,2021,Apparel,Non-founder Co-CEO/CFO through IPO,https://wwd.com/business-news/human-resources/on-holding-co-ceo-marc-maurer-martin-hoffmann-1237069251/,
Yael Aflalo,founder,Founder & CEO,Reformation,majority,2019,Apparel,Sold majority to Permira,https://www.permira.com/news-and-insights/announcements/reformation-majority-investment,
Hali Borenstein,alumni,President then CEO (non-founder),Reformation,majority,2019,Apparel,"President under Aflalo, CEO 2020",https://www.permira.com/news-and-insights/announcements/reformation-majority-investment,
